x,t,A,F
4Y,blc,-0.0066,73542
4Y,blc,-0.006,70335
4Y,blc,-0.0042,57256
4Y,blc,0,64791
4Y,0,0.0187,416043
4Y,0,0.0208,415419
4Y,0,0.0209,335123
4Y,0,0.0222,423696
4Y,2,0.0839,835553
4Y,2,0.0901,807139
4Y,2,0.1067,974999
4Y,2,0.1166,892534
4Y,4,0.3013,1612041
4Y,4,0.4391,2364287
4Y,4,0.5136,2774915
4Y,6,0.5304,3933115
4Y,4,0.6876,3097591
4Y,8,0.7014,7635454
4Y,12,0.7092,11125213
4Y,6,0.7218,6335038
4Y,12,0.7408,11109232
4Y,12,0.7547,10058678
4Y,10,0.7703,10695446
4Y,8,0.7704,9280944
4Y,12,0.7731,10083821
4Y,6,0.823,5438551
4Y,10,0.8356,10737339
4Y,8,0.8362,8344890
4Y,8,0.8899,9498379
4Y,10,0.8911,13307728
4Y,10,0.9316,11951671
4Y,6,0.9455,6415027
3Y,blc,-0.0131,67460
3Y,blc,-0.0095,66021
3Y,blc,-0.0065,59819
3Y,blc,-0.0046,62036
3Y,0,0.0093,1104041
3Y,0,0.0123,1026646
3Y,0,0.0145,1010506
3Y,0,0.0145,929230
3Y,2,0.0362,3141951
3Y,2,0.0429,2348837
3Y,2,0.0455,2420382
3Y,2,0.0485,2693782
3Y,4,0.094,6128260
3Y,4,0.1044,7179016
3Y,4,0.1264,9471928
3Y,4,0.1411,8665444
3Y,12,0.2407,29418876
3Y,12,0.2505,28308692
3Y,12,0.2669,29841270
3Y,12,0.2854,34750964
3Y,10,0.3021,33684500
3Y,6,0.3108,26054870
3Y,8,0.3156,39252292
3Y,6,0.3284,30108960
3Y,10,0.3365,38245464
3Y,8,0.3741,36548112
3Y,6,0.3861,31261608
3Y,10,0.395,40195484
3Y,6,0.4493,35596612
3Y,10,0.4523,42264560
3Y,8,0.4592,44351228
3Y,8,0.5246,54421304
1Y,blc,-0.0097,57803
1Y,blc,-0.0089,61060
1Y,blc,-0.008,67423
1Y,blc,-0.0045,67617
1Y,0,0.0086,1630714
1Y,0,0.0087,1507832
1Y,0,0.01,1559852
1Y,0,0.0134,1468130
1Y,2,0.0477,2789427
1Y,2,0.0487,2489130
1Y,2,0.0525,2475774
1Y,2,0.0551,2755333
1Y,4,0.1663,8779671
1Y,4,0.1762,9755779
1Y,4,0.1782,9658620
1Y,4,0.1919,11159044
1Y,12,0.5423,49539648
1Y,12,0.5497,49650568
1Y,12,0.5523,47693636
1Y,12,0.5564,49402792
1Y,6,0.6453,33626160
1Y,6,0.6685,37860164
1Y,6,0.7147,39839420
1Y,6,0.7504,44528208
1Y,10,0.8108,60450072
1Y,10,0.8205,60018736
1Y,10,0.8218,64080144
1Y,8,0.8369,62567856
1Y,10,0.8407,67639664
1Y,8,0.8574,71712776
1Y,8,0.8727,60461892
1Y,8,0.8799,67071732
