x,t,A,BF,YF
4C3K,10,0.2084,2294820,93020
4C3K,12,0.4041,4930588,341430
3C4K,blc,0.099,2179505,74377
3C4K,0,0.1021,2371106,84652
3C4K,2,0.1419,1920311,177973
3C4K,4,0.1884,2439046,325127
3C4K,6,0.3152,2425677,573027
3C4K,8,0.4884,2378643,8888810
3C4K,10,0.708,2816078,20923456
3C4K,12,0.5662,2987556,16886796
1C4K,blc,0.0985,1425801,74127
1C4K,0,0.1039,1630695,66751
1C4K,2,0.1199,2348294,83657
1C4K,4,0.1551,2861932,95214
1C4K,6,0.2201,3494140,302564
1C4K,8,0.4233,6238889,445634
1C4K,10,0.7309,9919185,1289972
1C4K,12,0.7138,16353914,3187748
1C3K,blc,0.0996,1539361,72874
1C3K,0,0.1024,2983830,74224
1C3K,2,0.1231,3011452,76601
1C3K,4,0.1468,2680183,70731
1C3K,6,0.2295,4694150,136625
1C3K,8,0.4138,4051737,152826
1C3K,10,0.7891,9478958,289396
1C3K,12,0.7065,11404901,250322
